【来源】https://github.com/xisohi/CHINA-IPTV
央视,#genre#
睛彩篮球,http://120.210.193.151:8006/000000001001/3000000020000011529/3000000020000011529.m3u8
睛彩青少,http://120.210.193.151:8006/000000001001/3000000020000031315/3000000020000031315.m3u8
精彩赛事,http://120.210.193.151:8006/120000000058/GITV-AH-4/GITV-AH-4.m3u8
精彩影院,http://120.210.193.151:8006/120000000058/GITV-AH-10/GITV-AH-10.m3u8
精品大剧,http://120.210.193.151:8006/120000000058/GITV-AH-13/GITV-AH-13.m3u8
精品记录,http://120.210.193.151:8006/120000000058/GITV-AH-8/GITV-AH-8.m3u8
精品体育,http://120.210.193.151:8006/120000000058/GITV-AH-7/GITV-AH-7.m3u8
军旅剧场,http://120.210.193.151:8006/120000000058/GITV-AH-14/GITV-AH-14.m3u8
军事评论,http://120.210.193.151:8006/120000000058/GITV-AH-16/GITV-AH-16.m3u8
快乐垂钓,http://120.210.193.151:8006/120000001002/XMTklcd/1.m3u8
快乐购,http://120.210.193.151:8006/120000001002/XMTGW_klg/index.m3u8
郎溪新闻综合,http://120.210.193.151:8006/120000001002/XMTlxxw/1.m3u8
梨园,http://120.210.193.151:8006/120000001002/XMTliyuan/1.m3u8
历史解密,http://120.210.193.151:8006/120000000058/GITV-AH-24/GITV-AH-24.m3u8
利辛新闻综合,http://120.210.193.151:8006/120000001002/XMTlxzh/1.m3u8
临泉新闻,http://120.210.193.151:8006/120000001002/XMTlqxw/1.m3u8
灵璧文旅经济,http://120.210.193.151:8006/120000001002/XMTlbwl/1.m3u8
灵璧新闻综合,http://120.210.193.151:8006/120000001002/XMTlbxw/1.m3u8
六安社会生活,http://120.210.193.151:8006/120000001002/XMTlashsh/1.m3u8
六安新闻,http://120.210.193.151:8006/120000001002/XMTlaxw/1.m3u8
六安新闻,http://120.210.193.151:8006/120000001002/XMTLA_xwzh/index.m3u8
旅行记录,http://120.210.193.151:8006/120000000058/GITV-AH-29/GITV-AH-29.m3u8
马鞍山公共,http://120.210.193.151:8006/120000001002/XMTmasgg/1.m3u8
马鞍山新闻,http://120.210.193.151:8006/120000001002/XMTmasxw/1.m3u8
蒙城新闻,http://120.210.193.151:8006/120000001002/XMTmcxw/1.m3u8
咪咕冬奥冰上,http://120.210.193.151:8006/120000001002/HD-8000k-1080P-migudongao4/1.m3u8
咪咕冬奥雪上,http://120.210.193.151:8006/120000001002/HD-8000k-1080P-migudongao5/1.m3u8
咪咕冬奥直击,http://120.210.193.151:8006/120000001002/HD-8000k-1080P-migudongao6/1.m3u8
咪咕足球,http://120.210.193.151:8006/120000001002/XMTzqpd/index.m3u8
名人传记,http://120.210.193.151:8006/120000000058/GITV-AH-28/GITV-AH-28.m3u8
南陵新闻综合,http://120.210.193.151:8006/120000001002/XMTnlxw/1.m3u8
农业致富,http://120.210.193.151:8006/120000000058/GITV-AH-5/GITV-AH-5.m3u8
女性时尚,http://120.210.193.151:8006/120000001002/XMTnxss/1.m3u8
七彩戏剧,http://120.210.193.151:8006/120000001002/XMTqcxj/1.m3u8
祁门综合,http://120.210.193.151:8006/120000001002/XMTqmxw/1.m3u8
潜山综合,http://120.210.193.151:8006/120000001002/XMTqszh/1.m3u8
热播精选,http://120.210.193.151:8006/120000000058/GITV-AH-15/GITV-AH-15.m3u8
舌尖美食,http://120.210.193.151:8006/120000000058/GITV-AH-25/GITV-AH-25.m3u8
歙县综合,http://120.210.193.151:8006/120000001002/XMTshxzh/1.m3u8
生活时尚,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/shss8m/index.m3u8
诗词歌赋,http://120.210.193.151:8006/120000000058/GITV-AH-26/GITV-AH-26.m3u8
世界地理,http://120.210.193.151:8006/120000001002/XMTsjdl/1.m3u8
寿县综合,http://120.210.193.151:8006/120000001002/XMTshouxzh/1.m3u8
泗县新闻,http://120.210.193.151:8006/120000001002/XMTsxxw/1.m3u8
宿州科教生活,http://120.210.193.151:8006/120000001002/XMTszkj/1.m3u8
宿州新闻,http://120.210.193.151:8006/120000001002/XMTszxw/1.m3u8
濉溪综合,http://120.210.193.151:8006/120000001002/XMTsxzh/1.m3u8
太湖新闻综合,http://120.210.193.151:8006/120000001002/XMTthxw/1.m3u8
铜陵新闻,http://120.210.193.151:8006/120000001002/XMTtlxw/1.m3u8
屯溪融媒,http://120.210.193.151:8006/120000001002/XMTtxrm/1.m3u8
文化精品,http://120.210.193.151:8006/120000001002/XMTysjp/1.m3u8
文物宝库,http://120.210.193.151:8006/120000001002/XMTwenwu/1.m3u8
芜湖公共,http://120.210.193.151:8006/120000001002/XMTwhgg/1.m3u8
芜湖教育,http://120.210.193.151:8006/120000001002/XMTwhjy/1.m3u8
芜湖生活,http://120.210.193.151:8006/120000001002/XMTwhsh/1.m3u8
芜湖新闻,http://120.210.193.151:8006/120000001002/XMTwhxxw/1.m3u8
芜湖新闻,http://120.210.193.151:8006/120000001002/XMTwhxw/1.m3u8
桐城综合,http://120.210.193.151:8006/120000001002/XMTtcxw/1.m3u8
铜陵教育科技,http://120.210.193.151:8006/120000001002/XMTtljy/1.m3u8
涡阳新闻综合,http://120.210.193.151:8006/120000001002/XMTgyxw/1.m3u8
无为综合,http://120.210.193.151:8006/120000001002/XMTwwxw/1.m3u8
五河新闻综合,http://120.210.193.151:8006/120000001002/XMTwuhxw/1.m3u8
武术世界,http://120.210.193.151:8006/120000001002/XMTwushu/1.m3u8
萧县新闻综合,http://120.210.193.151:8006/120000001002/XMTxxxw/1.m3u8
休宁新闻综合,http://120.210.193.151:8006/120000001002/XMTxnxw/1.m3u8
宣城新闻,http://120.210.193.151:8006/120000001002/XMTxcxw/1.m3u8
央广购物,http://120.210.193.151:8006/120000001002/XMTGW_yggw/index.m3u8
央视台球,http://120.210.193.151:8006/120000001002/XMTystq/1.m3u8
黟县新闻综合,http://120.210.193.151:8006/120000001002/XMTyixxw/1.m3u8
怡伴健康,http://120.210.193.151:8006/120000000058/GITV-AH-6/GITV-AH-6.m3u8
义安新闻综合,http://120.210.193.151:8006/120000001002/XMTyaxw/1.m3u8
优漫卡通,http://120.210.193.151:8006/120000000058/G_YOUMAN/index.m3u8
游戏风云,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/yxfy8m/index.m3u8
岳西新闻综合,http://120.210.193.151:8006/120000001002/XMTyxxw/1.m3u8
中国交通,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/ah_zgjt/index.m3u8
中国天气,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/zgqxhd4mc/index.m3u8
自然纪实,http://120.210.193.151:8006/120000000058/GITV-AH-27/GITV-AH-27.m3u8
BESTV1,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/4M-hdnba1/index.m3u8
BESTV2,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/4M-hdnba2/index.m3u8
BESTV3,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/4M-hdnba3/index.m3u8
CCTV4K,http://120.210.193.151:8006/120000000058/G_CCTV-4K-HD/index.m3u8
BESTV4,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/4M-hdnba4/index.m3u8
BESTV5,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/4M-hdnba5/index.m3u8
BESTV6,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/4M-hdnba6/index.m3u8
BESTV7,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/4M-hdnba7/index.m3u8
CCTV高尔夫·网球,http://120.210.193.151:8006/120000001002/XMTgolf/1.m3u8
CHC动作电影,http://120.210.193.151:8006/120000001002/XMTdzdy/1.m3u8
CHC家庭影院,http://120.210.193.151:8006/120000001002/XMTjtyy/1.m3u8
CHC影迷电影,http://120.210.193.151:8006/120000001002/XMTgqdy/1.m3u8
CHC影迷电影,http://120.210.193.151:8006/120000001002/XMTymdy/1.m3u8
